danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Genre,Name,Artist
0.489,0.724,5,-8.367,1,0.0352,0.313,0.185,0.287,0.15,117.292,audio_features,3qiyyUfYe7CRYLucrPmulD,spotify:track:3qiyyUfYe7CRYLucrPmulD,https://api.spotify.com/v1/tracks/3qiyyUfYe7CRYLucrPmulD,https://api.spotify.com/v1/audio-analysis/3qiyyUfYe7CRYLucrPmulD,300400,4,Rock,Baba O'Riley,The Who
0.473,0.898,6,-4.797,0,0.0561,0.00783,0.0618,0.173,0.808,96.556,audio_features,4aVuWgvD0X63hcOCnZtNFA,spotify:track:4aVuWgvD0X63hcOCnZtNFA,https://api.spotify.com/v1/tracks/4aVuWgvD0X63hcOCnZtNFA,https://api.spotify.com/v1/audio-analysis/4aVuWgvD0X63hcOCnZtNFA,235547,4,Rock,Hold the Line,TOTO
0.653,0.519,2,-10.164,1,0.0497,0.406,0.0209,0.101,0.822,98.883,audio_features,1qRA5BS78u3gME0loMl9AA,spotify:track:1qRA5BS78u3gME0loMl9AA,https://api.spotify.com/v1/tracks/1qRA5BS78u3gME0loMl9AA,https://api.spotify.com/v1/audio-analysis/1qRA5BS78u3gME0loMl9AA,153693,4,Rock,For What It's Worth,Buffalo Springfield
0.412,0.658,4,-12.051,0,0.0708,4.52e-05,0.000774,0.176,0.454,163.071,audio_features,1Y373MqadDRtclJNdnUXVc,spotify:track:1Y373MqadDRtclJNdnUXVc,https://api.spotify.com/v1/tracks/1Y373MqadDRtclJNdnUXVc,https://api.spotify.com/v1/audio-analysis/1Y373MqadDRtclJNdnUXVc,168406,4,Rock,Paranoid - 2012 - Remaster,Black Sabbath
0.933,0.528,5,-6.472,0,0.162,0.112,0.329,0.163,0.756,109.975,audio_features,57JVGBtBLCfHw2muk5416J,spotify:track:57JVGBtBLCfHw2muk5416J,https://api.spotify.com/v1/tracks/57JVGBtBLCfHw2muk5416J,https://api.spotify.com/v1/audio-analysis/57JVGBtBLCfHw2muk5416J,214653,4,Rock,Another One Bites The Dust - Remastered 2011,Queen
0.652,0.94,2,-7.927,1,0.0776,0.0398,0.782,0.0567,0.72,91.242,audio_features,5h6SovHOYpIMlAkafxcbq3,spotify:track:5h6SovHOYpIMlAkafxcbq3,https://api.spotify.com/v1/tracks/5h6SovHOYpIMlAkafxcbq3,https://api.spotify.com/v1/audio-analysis/5h6SovHOYpIMlAkafxcbq3,246293,4,Rock,Funk #49,James Gang
0.559,0.345,4,-13.496,1,0.0459,0.0576,0.000105,0.141,0.458,84.581,audio_features,3d9DChrdc6BOeFsbrZ3Is0,spotify:track:3d9DChrdc6BOeFsbrZ3Is0,https://api.spotify.com/v1/tracks/3d9DChrdc6BOeFsbrZ3Is0,https://api.spotify.com/v1/audio-analysis/3d9DChrdc6BOeFsbrZ3Is0,264307,4,Rock,Under the Bridge,Red Hot Chili Peppers
0.413,0.881,11,-5.541,0,0.0367,5.99e-05,0.000308,0.0805,0.364,158.066,audio_features,5UWwZ5lm5PKu6eKsHAGxOk,spotify:track:5UWwZ5lm5PKu6eKsHAGxOk,https://api.spotify.com/v1/tracks/5UWwZ5lm5PKu6eKsHAGxOk,https://api.spotify.com/v1/audio-analysis/5UWwZ5lm5PKu6eKsHAGxOk,250547,4,Rock,Everlong,Foo Fighters
0.427,0.201,8,-13.044,1,0.0317,0.745,0.263,0.109,0.0668,105.218,audio_features,1nFtiJxYdhtFfFtfXBv06s,spotify:track:1nFtiJxYdhtFfFtfXBv06s,https://api.spotify.com/v1/tracks/1nFtiJxYdhtFfFtfXBv06s,https://api.spotify.com/v1/audio-analysis/1nFtiJxYdhtFfFtfXBv06s,232147,4,Rock,Something In The Way,Nirvana
0.493,0.586,2,-13.916,1,0.046,0.0202,0.00106,0.102,0.656,113.618,audio_features,4MYb7NWLwXNDB7bYs3HeX8,spotify:track:4MYb7NWLwXNDB7bYs3HeX8,https://api.spotify.com/v1/tracks/4MYb7NWLwXNDB7bYs3HeX8,https://api.spotify.com/v1/audio-analysis/4MYb7NWLwXNDB7bYs3HeX8,232533,4,Rock,Slow Ride,Foghat
0.723,0.863,2,-7.89,1,0.0338,0.0383,0.0317,0.128,0.931,136.302,audio_features,2PzU4IB8Dr6mxV3lHuaG34,spotify:track:2PzU4IB8Dr6mxV3lHuaG34,https://api.spotify.com/v1/tracks/2PzU4IB8Dr6mxV3lHuaG34,https://api.spotify.com/v1/audio-analysis/2PzU4IB8Dr6mxV3lHuaG34,222813,4,Rock,(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones
0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,audio_features,0ofHAoxe9vBkTCp2UQIavz,spotify:track:0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/tracks/0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/audio-analysis/0ofHAoxe9vBkTCp2UQIavz,257800,4,Rock,Dreams - 2004 Remaster,Fleetwood Mac
0.566,0.834,6,-8.412,0,0.0298,0.00277,0.008,0.0625,0.621,123.296,audio_features,3VqHuw0wFlIHcIPWkhIbdQ,spotify:track:3VqHuw0wFlIHcIPWkhIbdQ,https://api.spotify.com/v1/tracks/3VqHuw0wFlIHcIPWkhIbdQ,https://api.spotify.com/v1/audio-analysis/3VqHuw0wFlIHcIPWkhIbdQ,331560,4,Rock,Enter Sandman (Remastered),Metallica
0.411,0.893,7,-3.646,1,0.139,0.00563,0.00967,0.149,0.513,170.407,audio_features,2QiqwOVUctPRVggO9G1Zs5,spotify:track:2QiqwOVUctPRVggO9G1Zs5,https://api.spotify.com/v1/tracks/2QiqwOVUctPRVggO9G1Zs5,https://api.spotify.com/v1/audio-analysis/2QiqwOVUctPRVggO9G1Zs5,363853,4,Rock,Wake Up,Rage Against The Machine
0.596,0.605,7,-12.145,1,0.0255,0.181,0.000331,0.0863,0.886,97.798,audio_features,7e89621JPkKaeDSTQ3avtg,spotify:track:7e89621JPkKaeDSTQ3avtg,https://api.spotify.com/v1/tracks/7e89621JPkKaeDSTQ3avtg,https://api.spotify.com/v1/audio-analysis/7e89621JPkKaeDSTQ3avtg,283800,4,Rock,Sweet Home Alabama,Lynyrd Skynyrd
0.741,0.697,0,-7.028,1,0.0277,0.0664,2.28e-05,0.133,0.774,116.109,audio_features,2LawezPeJhN4AWuSB0GtAU,spotify:track:2LawezPeJhN4AWuSB0GtAU,https://api.spotify.com/v1/tracks/2LawezPeJhN4AWuSB0GtAU,https://api.spotify.com/v1/audio-analysis/2LawezPeJhN4AWuSB0GtAU,160133,4,Rock,Have You Ever Seen The Rain,Creedence Clearwater Revival
0.453,0.987,8,-4.485,1,0.0889,0.0195,0.283,0.268,0.316,123.544,audio_features,0G21yYKMZoHa30cYVi1iA8,spotify:track:0G21yYKMZoHa30cYVi1iA8,https://api.spotify.com/v1/tracks/0G21yYKMZoHa30cYVi1iA8,https://api.spotify.com/v1/audio-analysis/0G21yYKMZoHa30cYVi1iA8,273480,4,Rock,Welcome To The Jungle,Guns N' Roses
